address,bedrooms,full_bathrooms,half_bathrooms,type,size_sqft,lot_size,price,GEOCODE,zip,distance,pps,lon,lat
6812 MYSTIC PLAIN CT LAS VEGAS NV 89149,3.0,2.0,1.0,Single Family Home,1992.0,6098.0,22e4,"-115.29752,36.284943",89149,13.65413918618413,110.4417670682731,-115.29752,36.284943
3416 GOLDYKE ST LAS VEGAS NV 89115,3.0,2.0,0.0,Mfd/Mobile Home,1782.0,8276.0,6e4,"-115.07684,36.222168",89115,9.151487443804974,33.67003367003367,-115.07684,36.222168
9222 COWBOY RAIN DR LAS VEGAS NV 89178,3.0,3.0,1.0,Single Family Home,1864.0,2178.0,173e3,"-115.29426,36.010292",89178,9.898856234484985,92.81115879828326,-115.29426,36.010292
845 TROTTER CIR LAS VEGAS NV 89107,5.0,4.0,1.0,Single Family Home,4608.0,15246.0,6e5,"-115.176125,36.160988",89107,3.2005577315700906,130.20833333333334,-115.176125,36.160988
10914 IRIS CANYON LN LAS VEGAS NV 89135,4.0,4.0,1.0,Single Family Home,3951.0,13503.6,799e3,"-115.33189,36.139626",89135,9.062972013783586,202.22728423184003,-115.33189,36.139626
2192 GONDERVILLE CT HENDERSON NV 89044,5.0,3.0,1.0,Single Family Home,3800.0,10454.4,394900.0,"-115.08403,35.93401",89044,13.410359615471464,103.92105263157895,-115.08403,35.93401
204 N RING DOVE DR LAS VEGAS NV 89144,4.0,4.0,0.0,Single Family Home,3270.0,8276.0,585500.0,"-115.31951,36.175266",89144,9.206876620577836,179.0519877675841,-115.31951,36.175266
4363 CRANBROOK CIR LAS VEGAS NV 89103,4.0,2.0,1.0,Single Family Home,2117.0,6969.0,198900.0,"-115.23455,36.109478",89103,3.4720870225226124,93.95370807746812,-115.23455,36.109478
10765 GILESPIE ST LAS VEGAS NV 89183,4.0,3.0,1.0,Single Family Home,4451.0,49658.4,775e3,"-115.16374,35.99454",89183,8.296566323330307,174.118175690856,-115.16374,35.99454
381 DOG LEG DR LAS VEGAS NV 89148,3.0,2.0,1.0,Single Family Home,1714.0,3484.0,275e3,"-115.29452,36.041286",89148,8.484305289862986,160.44340723453908,-115.29452,36.041286
7725 LITTONDALE ST LAS VEGAS NV 89139,3.0,3.0,0.0,Single Family Home,2054.0,4791.0,218e3,"-115.22274,36.048832",89139,5.3289737368253824,106.13437195715677,-115.22274,36.048832
5108 NARDINI AVE LAS VEGAS NV 89141,3.0,2.0,0.0,Single Family Home,1405.0,4791.0,209900.0,"-115.2108,35.991253",89141,8.769386887311413,149.39501779359432,-115.2108,35.991253
